equip,mode,start,end,duration_min,n_points,peak_mae,peak_ratio,mean_mae,mean_ratio,dist_to_failure_days,category
B-0302C,mult,2024-02-21 10:01:00,2024-02-21 12:37:00,156.0,157,0.08062882,1.825,0.04304571520359281,0.974,190.58,far
B-0302C,mult,2024-02-21 17:44:00,2024-02-21 19:37:00,113.0,114,0.08947224,2.025,0.04845230662096774,1.097,190.26,far
B-0302C,mult,2024-02-21 22:12:00,2024-02-21 23:39:00,87.0,88,0.049539763,1.121,0.031480489234693876,0.712,190.07,far
B-0302C,mult,2024-02-22 01:55:00,2024-02-22 03:17:00,82.0,83,0.0644857,1.459,0.03505634698924731,0.793,189.92,far
B-0302C,mult,2024-02-22 06:11:00,2024-02-22 07:19:00,68.0,69,0.050980277,1.154,0.038638317518987345,0.874,189.74,far
B-0302C,mult,2024-02-22 08:12:00,2024-02-22 10:56:00,164.0,165,0.15688196,3.55,0.06426172,1.454,189.66,far
B-0302C,mult,2024-02-22 17:57:00,2024-02-22 20:56:00,179.0,180,0.08002582,1.811,0.04509889014736841,1.021,189.25,far
B-0302C,mult,2024-02-22 22:01:00,2024-02-22 23:28:00,87.0,88,0.059047356,1.336,0.03454306076530612,0.782,189.08,far
B-0302C,mult,2024-02-23 07:05:00,2024-02-23 09:03:00,118.0,119,0.11645924,2.636,0.053090416558139536,1.202,188.7,far
B-0302C,mult,2024-02-23 17:53:00,2024-02-23 19:32:00,99.0,100,0.060999278,1.381,0.03767410144999999,0.853,188.25,far
B-0302C,mult,2024-02-25 02:26:00,2024-02-25 03:14:00,48.0,49,0.05007784,1.133,0.03344789128813559,0.757,186.9,far
B-0302C,mult,2024-02-27 23:00:00,2024-02-28 00:29:00,89.0,90,0.04884515,1.105,0.03233063584,0.732,184.04,far
B-0302C,mult,2024-03-01 15:41:00,2024-03-01 15:55:00,14.0,15,0.0578086,1.308,0.03249641996,0.735,181.35,far
