arm,par,tr_det,tr_n,tr_fp,tr_h,tr_lead,tr_quais,te_det,te_n,te_fp,te_h,te_lead,te_quais,tot_det,tot_n,tot_fp,tot_h,tot_lead,tot_quais
volat,0.39,5,6,4.100992477631573,79.50257368221534,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.784628475496171,139.6062254214291,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.403645906245943,106.11114363455415,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
volat,0.5,5,6,4.100992477631573,79.6559441325983,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.658717199825219,140.07629418393398,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.347903553002324,106.40472002830387,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
volat,0.7,5,6,4.100992477631573,79.84932426568987,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.658717199825219,140.14764390681418,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.347903553002324,106.54407591141292,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
volat,1.0,5,6,4.100992477631573,79.89600222884991,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.658717199825219,140.31552560770876,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.347903553002324,106.64441214725143,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
volat,1.5,5,6,4.100992477631573,79.91934121042993,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.658717199825219,140.34490490536533,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.347903553002324,106.6704252454318,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,40/0.15,5,6,5.101234545346591,75.95171434182701,20.48,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,6.7992088862314,131.12819952625168,17.3,"2025-11-04,2025-12-09,2026-02-26",8,9,5.8529470905800505,100.3789716426686,19.2875,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,40/0.2,5,6,4.601113511489082,78.53900715698319,21.053333333333335,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,5.288273578179978,137.34401950187433,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.905327085438519,104.57265468503023,19.695833333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,40/0.25,5,6,4.201016684403075,79.88599980817276,21.06,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,5.036451026838074,138.5611618333602,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.570872965976801,105.86216112339932,19.700000000000003,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,40/0.3,5,6,4.301040891174576,79.96935331381567,21.06,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.910539751167122,139.05641285099927,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.570872965976801,106.12786634052722,19.700000000000003,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,40/0.39,5,6,4.100992477631573,79.50257368221534,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.784628475496171,139.5264816135041,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.403645906245943,106.07584014416652,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
