entrada,modelo,ajuste,percentil,sustenta_min,limiar,tr_det,tr_n,tr_eps,tr_fp,tr_h,tr_lead,te_det,te_n,te_eps,te_fp,te_h,te_lead,tot_det,tot_n,tot_eps,tot_fp,tot_h,tot_lead,quais
nosso,iforest,estatico,99.0,2,0.47333531986538113,5,6,219,20.90505921524387,13.439919249864094,35.76,3,3,85,9.821079502334245,7.5924499229584,17.855555555555558,8,9,304,15.998055380918805,10.851178098091241,29.045833333333334,"2024-01-16,2025-02-27,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
nosso,iforest,estatico,99.0,10,0.47333531986538113,3,6,72,6.901670267233622,5.851416096132854,24.333333333333332,1,3,30,3.651426994457604,4.6041556470344736,3.3,4,9,102,5.462750617874714,5.299239715026763,19.075,"2024-01-16,2025-02-27,2025-04-29,2025-11-04"
nosso,iforest,estatico,99.0,30,0.47333531986538113,0,6,23,2.300556755744541,2.557285553124729,,0,3,14,1.762757859393326,2.9001563829542576,,0,9,37,2.0624670700139225,2.709078367639909,,
nosso,iforest,estatico,99.0,60,0.47333531986538113,0,6,16,1.6003873083440283,0.47344791205177517,,0,3,9,1.1332014810385667,1.9348366028102937,,0,9,25,1.3935588310904883,1.1204213001967527,,
nosso,iforest,estatico,99.5,2,0.4931607723636329,5,6,166,15.703800463125779,6.674948731884885,29.706666666666667,3,3,65,7.302853988915208,4.272589287767634,17.844444444444445,8,9,231,11.9846059473782,5.611396893191029,25.258333333333333,"2024-01-16,2025-02-27,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
nosso,iforest,estatico,99.5,10,0.4931607723636329,2,6,46,4.401065097946078,1.8604502459499324,36.266666666666666,1,3,20,2.3923142377480855,1.8634868799300879,3.3,3,9,66,3.5117682543480306,1.8617945983368922,25.277777777777775,"2025-02-27,2025-04-29,2025-11-04"
nosso,iforest,estatico,99.5,30,0.4931607723636329,0,6,10,1.0002420677150177,0.5401307165661097,,0,3,9,1.1332014810385667,0.9821079502334245,,0,9,19,1.059104711628771,0.7357990628157779,,
nosso,iforest,estatico,99.5,60,0.4931607723636329,0,6,6,0.6001452406290106,0.16003873083440284,,0,3,6,0.7554676540257111,0.541418485385093,,0,9,12,0.6689082389234344,0.32887988413735525,,
nosso,iforest,estatico,99.9,2,0.5655871400951114,2,6,64,6.001452406290107,1.046920030875052,33.53333333333333,2,3,32,3.651426994457604,0.7093001862796954,6.45,4,9,96,4.961069438682138,0.8974518872222741,19.991666666666664,"2024-01-16,2025-04-29,2025-11-04,2025-12-09"
nosso,iforest,estatico,99.9,10,0.5655871400951114,0,6,6,0.6001452406290106,0.35675300415168965,,0,3,6,0.7554676540257111,0.35674861440103034,,0,9,12,0.6689082389234344,0.35675106075916496,,
nosso,iforest,estatico,99.9,30,0.5655871400951114,0,6,1,0.10002420677150177,0.053346243611467614,,0,3,4,0.5036451026838075,0.18047282846169768,,0,9,5,0.2787117662180977,0.10962662804578509,,
nosso,iforest,estatico,99.9,60,0.5655871400951114,0,6,1,0.10002420677150177,0.003334140225716726,,0,3,2,0.25182255134190373,0.016788170089460246,,0,9,3,0.1672270597308586,0.009290392207269923,,
nosso,iforest,estatico,99.95,2,0.5907647019473303,2,6,41,3.8009198573170675,0.403430967311724,19.566666666666666,2,3,25,2.770048064760941,0.533024400340363,6.45,4,9,66,3.3445411946171717,0.460803453480588,13.008333333333333,"2024-01-16,2025-04-29,2025-11-04,2025-12-09"
nosso,iforest,estatico,99.95,10,0.5907647019473303,0,6,3,0.3000726203145053,0.02333898158001708,,0,3,4,0.5036451026838075,0.19726099855115792,,0,9,7,0.3901964727053367,0.10033623583851514,,
nosso,iforest,estatico,99.95,30,0.5907647019473303,0,6,0,0.0,0.0,,0,3,2,0.25182255134190373,0.07554676540257112,,0,9,2,0.11148470648723906,0.03344541194617172,,
nosso,iforest,estatico,99.95,60,0.5907647019473303,0,6,0,0.0,0.0,,0,3,1,0.12591127567095187,0.008394085044730123,,0,9,1,0.05574235324361953,0.003716156882907969,,
nosso,iforest,estatico,99.99,2,0.6645712305336708,1,6,14,1.300314688029523,0.06334866428861778,0.06666666666666667,2,3,8,0.7554676540257111,0.1217142331485868,4.816666666666666,3,9,22,1.059104711628771,0.08918776518979125,3.233333333333333,"2024-01-16,2025-11-04,2025-12-09"
nosso,iforest,estatico,99.99,10,0.6645712305336708,0,6,0,0.0,0.0,,0,3,1,0.12591127567095187,0.04197042522365062,,0,9,1,0.05574235324361953,0.018580784414539843,,
nosso,iforest,estatico,99.99,30,0.6645712305336708,0,6,0,0.0,0.0,,0,3,0,0.0,0.0,,0,9,0,0.0,0.0,,
nosso,iforest,estatico,99.99,60,0.6645712305336708,0,6,0,0.0,0.0,,0,3,0,0.0,0.0,,0,9,0,0.0,0.0,,
