entrada,modelo,ajuste,percentil,sustenta_min,limiar,tr_det,tr_n,tr_eps,tr_fp,tr_h,tr_lead,te_det,te_n,te_eps,te_fp,te_h,te_lead,tot_det,tot_n,tot_eps,tot_fp,tot_h,tot_lead,quais
diego,iforest,walk,99.0,2,0.5401348763901872,4,6,225,21.00508342201537,12.723079101335022,38.66666666666667,3,3,145,17.123933491249453,38.4197272497298,25.122222222222224,7,9,370,19.28685422229236,24.099277385658205,32.86190476190477,"2025-02-27,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
diego,iforest,walk,99.0,10,0.5401348763901872,3,6,71,6.601597646919117,5.144578368280908,38.577777777777776,2,3,65,7.554676540257112,30.88183887956212,24.799999999999997,5,9,136,7.023536508696061,16.53875620738193,33.06666666666666,"2025-04-07,2025-04-11,2025-04-29,2025-11-04,2026-02-26"
diego,iforest,walk,99.0,30,0.5401348763901872,1,6,25,2.4005809625160426,2.2138691098759056,38.166666666666664,2,3,44,5.288273578179978,25.988087298484466,13.583333333333332,3,9,69,3.678995314078889,12.738985794608514,21.777777777777775,"2025-04-29,2025-11-04,2026-02-26"
diego,iforest,walk,99.0,60,0.5401348763901872,0,6,14,1.400338894801025,1.1936222008065875,,1,3,30,3.651426994457604,22.034473242416578,8.333333333333334,1,9,44,2.39692118947564,10.420103899673945,8.333333333333334,2025-11-04
diego,iforest,walk,99.5,2,0.5667308708118195,3,6,162,15.003631015725267,5.991449985612963,39.144444444444446,3,3,116,13.5984177724628,26.605052549272116,24.944444444444446,6,9,278,14.381527136853839,15.117326199669636,32.044444444444444,"2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
diego,iforest,walk,99.5,10,0.5667308708118195,2,6,49,4.701137718260584,2.190530128295889,21.0,2,3,52,6.043741232205689,19.910769726099847,24.299999999999997,4,9,101,5.295523558143856,10.035481662292966,22.65,"2025-04-11,2025-04-29,2025-11-04,2026-02-26"
diego,iforest,walk,99.5,30,0.5667308708118195,1,6,12,1.1002662744865195,0.8068619346234476,38.1,1,3,31,3.651426994457604,15.323402249154835,7.833333333333333,2,9,43,2.2296941297447814,7.233499372580357,22.96666666666667,"2025-04-29,2025-11-04"
diego,iforest,walk,99.5,60,0.5667308708118195,0,6,5,0.5001210338575088,0.3000726203145053,,0,3,21,2.644136789089989,13.72432904813375,,0,9,26,1.449301184334108,6.243143563285387,,
diego,iforest,walk,99.9,2,0.6344586833744611,3,6,73,6.501573440147616,0.8035277943977309,38.666666666666664,3,3,67,7.680587815928064,6.249396315801583,16.844444444444445,6,9,140,7.023536508696061,3.214475703715395,27.755555555555556,"2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
diego,iforest,walk,99.9,10,0.6344586833744611,0,6,13,1.300314688029523,0.14336802970581924,,1,3,26,3.1477818917737963,2.581181151254514,3.2666666666666666,1,9,39,2.118209423257542,1.2226156144767222,3.2666666666666666,2025-11-04
diego,iforest,walk,99.9,30,0.6344586833744611,0,6,1,0.10002420677150177,0.013336560902866904,,0,3,12,1.5109353080514223,1.2884920543660738,,0,9,13,0.724650592167054,0.5778623952921893,,
diego,iforest,walk,99.9,60,0.6344586833744611,0,6,0,0.0,0.0,,0,3,6,0.7554676540257111,0.7722558241151714,,0,9,6,0.3344541194617172,0.3418864332275331,,
diego,iforest,walk,99.95,2,0.662941215583271,1,6,47,4.5010893047175795,0.4501089304717581,38.53333333333333,2,3,54,6.421475059218545,2.5056343858519448,6.483333333333333,3,9,101,5.351265911387475,1.3601134191443183,17.166666666666668,"2025-04-29,2025-11-04,2025-12-09"
diego,iforest,walk,99.95,10,0.662941215583271,0,6,2,0.20004841354300354,0.010002420677150178,,1,3,17,2.01458041073523,1.6074672860658183,3.2666666666666666,1,9,19,1.0033623583851516,0.7172182784012378,3.2666666666666666,2025-11-04
diego,iforest,walk,99.95,30,0.662941215583271,0,6,0,0.0,0.0,,0,3,4,0.5036451026838075,0.6379504633994894,,0,9,4,0.22296941297447812,0.2824279231010056,,
diego,iforest,walk,99.95,60,0.662941215583271,0,6,0,0.0,0.0,,0,3,3,0.37773382701285557,0.3987190396246809,,0,9,3,0.1672270597308586,0.17651745193812854,,
diego,iforest,walk,99.99,2,0.721796650373406,1,6,13,1.2002904812580213,0.07001694474005124,31.4,2,3,25,2.770048064760941,0.5372214428627279,6.45,3,9,38,1.895240010283064,0.27685368777664354,14.766666666666666,"2025-04-29,2025-11-04,2025-12-09"
diego,iforest,walk,99.99,10,0.721796650373406,0,6,0,0.0,0.0,,0,3,5,0.6295563783547593,0.19306395602879287,,0,9,5,0.2787117662180977,0.08547160830688329,,
diego,iforest,walk,99.99,30,0.721796650373406,0,6,0,0.0,0.0,,0,3,1,0.12591127567095187,0.09653197801439642,,0,9,1,0.05574235324361953,0.04273580415344164,,
diego,iforest,walk,99.99,60,0.721796650373406,0,6,0,0.0,0.0,,0,3,1,0.12591127567095187,0.03357634017892049,,0,9,1,0.05574235324361953,0.014864627531631876,,
